,x value,y value
0,3.0,0.0
1,4.0,2.0
2,5.0,14.0
3,6.0,38.0
4,7.0,77.0
5,8.0,141.0
6,9.0,228.0
7,10.0,336.0
8,11.0,480.0
9,12.0,645.0
10,13.0,770.0
11,14.0,870.0
12,15.0,930.0
13,16.0,970.0
14,17.0,990.0
15,18.0,1000.0
16,19.0,1000.0
17,20.0,1000.0
18,21.0,1000.0
19,22.0,1000.0
20,23.0,1000.0
21,24.0,1000.0
22,25.0,1000.0
